iata,city_name
PIH,"Pocatello, ID"
PIR,"Pierre, SD"
PIT,"Pittsburgh, PA"
PLN,"Pellston, MI"
PNS,"Pensacola, FL"
PPG,"Pago Pago, TT"
PQI,"Presque Isle/Houlton, ME"
PRC,"Prescott, AZ"
PSC,"Pasco/Kennewick/Richland, WA"
PSE,"Ponce, PR"
PSG,"Petersburg, AK"
PSM,"Portsmouth, NH"
PSP,"Palm Springs, CA"
PVD,"Providence, RI"
PVU,"Provo, UT"
PWM,"Portland, ME"
RAP,"Rapid City, SD"
RDD,"Redding, CA"
RDM,"Bend/Redmond, OR"
RDU,"Raleigh/Durham, NC"
RFD,"Rockford, IL"
RHI,"Rhinelander, WI"
RIC,"Richmond, VA"
RIW,"Riverton/Lander, WY"
RKS,"Rock Springs, WY"
RNO,"Reno, NV"
ROA,"Roanoke, VA"
ROC,"Rochester, NY"
ROW,"Roswell, NM"
RST,"Rochester, MN"
RSW,"Fort Myers, FL"
SAF,"Santa Fe, NM"
SAN,"San Diego, CA"
SAT,"San Antonio, TX"
SAV,"Savannah, GA"
SBA,"Santa Barbara, CA"
SBN,"South Bend, IN"
SBP,"San Luis Obispo, CA"
SCC,"Deadhorse, AK"
SCE,"State College, PA"
SCK,"Stockton, CA"
SDF,"Louisville, KY"
SEA,"Seattle, WA"
SFB,"Sanford, FL"
SFO,"San Francisco, CA"
SGF,"Springfield, MO"
SGU,"St. George, UT"
SHD,"Staunton, VA"
SHR,"Sheridan, WY"
SHV,"Shreveport, LA"
SIT,"Sitka, AK"
SJC,"San Jose, CA"
SJT,"San Angelo, TX"
SJU,"San Juan, PR"
SLC,"Salt Lake City, UT"
SLN,"Salina, KS"
SMF,"Sacramento, CA"
SMX,"Santa Maria, CA"
SNA,"Santa Ana, CA"
SPI,"Springfield, IL"
SPN,"Saipan, TT"
SPS,"Wichita Falls, TX"
SRQ,"Sarasota/Bradenton, FL"
STC,"St. Cloud, MN"
STL,"St. Louis, MO"
STS,"Santa Rosa, CA"
STT,"Charlotte Amalie, VI"
STX,"Christiansted, VI"
SUN,"Sun Valley/Hailey/Ketchum, ID"
SUX,"Sioux City, IA"
SWF,"Newburgh/Poughkeepsie, NY"
SWO,"Stillwater, OK"
SYR,"Syracuse, NY"
TLH,"Tallahassee, FL"
TOL,"Toledo, OH"
TPA,"Tampa, FL"
TRI,"Bristol/Johnson City/Kingsport, TN"
TTN,"Trenton, NJ"
TUL,"Tulsa, OK"
TUS,"Tucson, AZ"
TVC,"Traverse City, MI"
TWF,"Twin Falls, ID"
TXK,"Texarkana, AR"
TYR,"Tyler, TX"
TYS,"Knoxville, TN"
USA,"Concord, NC"
VCT,"Victoria, TX"
VPS,"Valparaiso, FL"
VRB,"Vero Beach, FL"
WRG,"Wrangell, AK"
WYS,"West Yellowstone, MT"
XNA,"Fayetteville, AR"
XWA,"Williston, ND"
YAK,"Yakutat, AK"
YUM,"Yuma, AZ"
