ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,passengers,months_reported,flightsmart_score_v2,recommendation_band,data_confidence,gateway_score_100,carrier_score_100,service_consistency_score_100,passenger_evidence_score_100,airport_2025_score_100,chronic_risk_score_100,on_time_departure_pct,on_time_arrival_pct,gateway_cancellation_pct,carrier_cancellation_pct,rank_2025,on_time_pct_2025,reason_en,reason_ja
LAX,"Los Angeles, CA",NRT,"Tokyo, Japan",SQ,Singapore Airlines Ltd.,32404,5,82.2,STRONG,HIGH,79.2,,100.0,65.2,77.2,89.8,79.65,,1.15,,2.0,80.44,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
LAX,"Los Angeles, CA",NRT,"Tokyo, Japan",UA,United Air Lines Inc.,31293,5,81.8,STRONG,VERY_HIGH,79.2,81.7,100.0,63.1,77.2,89.8,79.65,81.47,1.15,1.24,2.0,80.44,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, strong recent U.S. carrier reliability.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、米国国内データで確認できる航空会社の良好な定時運航実績。
GUM,"Guam, TT",NRT,"Tokyo, Japan",UA,United Air Lines Inc.,53434,5,81.7,STRONG,HIGH,67.9,81.7,100.0,95.4,,50.0,79.8,81.47,3.97,1.24,,,"Supported by consistent scheduled service across all five reported months, strong passenger-volume evidence, strong recent U.S. carrier reliability.",主な根拠：5か月すべてで継続した定期運航実績、十分な旅客数に基づく運航実績、米国国内データで確認できる航空会社の良好な定時運航実績。
IAH,"Houston, TX",NRT,"Tokyo, Japan",UA,United Air Lines Inc.,34661,5,81.1,STRONG,VERY_HIGH,75.8,81.7,100.0,69.3,69.2,94.7,79.18,81.47,1.62,1.24,11.0,78.85,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, strong recent U.S. carrier reliability.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、米国国内データで確認できる航空会社の良好な定時運航実績。
LAX,"Los Angeles, CA",NRT,"Tokyo, Japan",NH,All Nippon Airways Co.,29118,5,81.0,STRONG,HIGH,79.2,,100.0,58.8,77.2,89.8,79.65,,1.15,,2.0,80.44,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
DEN,"Denver, CO",NRT,"Tokyo, Japan",UA,United Air Lines Inc.,35495,5,79.3,GOOD,VERY_HIGH,74.8,81.7,100.0,70.7,52.0,93.9,77.87,81.47,0.92,1.24,18.0,75.41,"Supported by consistent scheduled service across all five reported months, strong recent U.S. carrier reliability, lower chronic-delay signal at the gateway.",主な根拠：5か月すべてで継続した定期運航実績、米国国内データで確認できる航空会社の良好な定時運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。
LAX,"Los Angeles, CA",NRT,"Tokyo, Japan",JL,Japan Air Lines Co. Ltd.,25007,5,79.2,GOOD,HIGH,79.2,,100.0,49.6,77.2,89.8,79.65,,1.15,,2.0,80.44,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
SEA,"Seattle, WA",NRT,"Tokyo, Japan",JL,Japan Air Lines Co. Ltd.,25642,5,79.1,GOOD,HIGH,81.0,,100.0,51.1,64.8,95.9,80.18,,1.08,,13.0,77.95,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
SFO,"San Francisco, CA",NRT,"Tokyo, Japan",UA,United Air Lines Inc.,35372,5,75.9,GOOD,VERY_HIGH,67.9,81.7,100.0,70.5,50.2,72.4,75.95,81.47,1.2,1.24,19.0,75.05,"Supported by consistent scheduled service across all five reported months, strong recent U.S. carrier reliability.",主な根拠：5か月すべてで継続した定期運航実績、米国国内データで確認できる航空会社の良好な定時運航実績。
SFO,"San Francisco, CA",NRT,"Tokyo, Japan",ZG,ZIPAIR Tokyo Inc.,35726,5,74.6,GOOD,HIGH,67.9,,100.0,71.1,50.2,72.4,75.95,,1.2,,19.0,75.05,"Supported by consistent scheduled service across all five reported months. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
EWR,"Newark, NJ",NRT,"Tokyo, Japan",UA,United Air Lines Inc.,35068,5,74.5,GOOD,VERY_HIGH,69.0,81.7,100.0,70.0,25.0,89.6,79.54,81.47,3.52,1.24,29.0,70.0,"Supported by consistent scheduled service across all five reported months, strong recent U.S. carrier reliability, lower chronic-delay signal at the gateway.",主な根拠：5か月すべてで継続した定期運航実績、米国国内データで確認できる航空会社の良好な定時運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。
SFO,"San Francisco, CA",NRT,"Tokyo, Japan",NH,All Nippon Airways Co.,27259,5,71.5,FAIR,HIGH,67.9,,100.0,54.8,50.2,72.4,75.95,,1.2,,19.0,75.05,"Supported by consistent scheduled service across all five reported months. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
IAH,"Houston, TX",NRT,"Tokyo, Japan",ZG,ZIPAIR Tokyo Inc.,14377,5,71.0,FAIR,HIGH,75.8,,100.0,16.2,69.2,94.7,79.18,,1.62,,11.0,78.85,"Supported by consistent scheduled service across all five reported months, strong recent U.S. gateway performance, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績、米国出発空港の良好な直近運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
GUM,"Guam, TT",NRT,"Tokyo, Japan",JL,Japan Air Lines Co. Ltd.,22903,5,70.7,FAIR,HIGH,67.9,,100.0,44.3,,50.0,79.8,,3.97,,,,"Supported by consistent scheduled service across all five reported months. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
